"Title","Genre","Director","Writer","Actors","Maturity","Duration","Year","Rating","Votes"
"12 Years a Slave","Biography","Steve McQueen","Solomon Northup","Chiwetel Ejiofor","R",134,"2013",8.1,730000
"1917","Drama","Sam Mendes","Krysty Wilson-Cairns","George MacKay","R",119,"2019",8.2,651000
"2001: A Space Odyssey","Adventure","Stanley Kubrick","Arthur C. Clarke","William Sylvester","G",149,"1968",8.3,705000
"A Beautiful Mind","Biography","Ron Howard","Sylvia Nasar","Christopher Plummer","PG-13",135,"2001",8.2,970000
"A Clockwork Orange","Crime","Stanley Kubrick","Anthony Burgess","Michael Bates","R",136,"1971",8.3,866000
"Alien","Horror","Ridley Scott","Dan O'Bannon","Sigourney Weaver","R",117,"1979",8.5,929000
"Aliens","Action","James Cameron","Dan O'Bannon","Sigourney Weaver","R",137,"1986",8.4,749000
"Aliens","Action","James Cameron","Dan O'Bannon","Sigourney Weaver","R",137,"1986",8.4,749000
"American Beauty","Drama","Sam Mendes","Alan Ball","Wes Bentley","R",122,"1999",8.3,1200000
"American History X","Drama","Tony Kaye","David McKenna","Edward Norton","R",119,"1998",8.5,1200000
"Back to the Future","Adventure","Robert Zemeckis","Bob Gale","Michael J. Fox","PG",116,"1985",8.5,1300000
"Batman Begins","Action","Christopher Nolan","Bob Kane","Christian Bale","PG-13",140,"2005",8.2,1500000
"Braveheart","Biography","Mel Gibson","Randall Wallace","James Cosmo","R",178,"1995",8.3,1100000
"Casino","Crime","Martin Scorsese","Martin Scorsese","Sharon Stone","R",178,"1995",8.2,551000
"Catch Me If You Can","Biography","Steven Spielberg","Frank Abagnale Jr.","Martin Sheen","PG-13",141,"2002",8.1,1100000
"Cinema Paradiso","Drama","Giuseppe Tornatore","Richard Epcar","Enzo Cannavale","R",155,"1988",8.5,277000
"City Lights","Comedy","Charles Chaplin","Charles Chaplin","Al Ernest Garcia","G",87,"1931",8.5,193000
"Cool Hand Luke","Crime","Stuart Rosenberg","Donn Pearce","George Kennedy","GP",127,"1967",8.1,186000
"Dances with Wolves","Adventure","Kevin Costner","Michael Blake","Mary McDonnell","PG-13",181,"1990",8,284000
"Dangal","Action","Nitesh Tiwari","Piyush Gupta","Aamir Khan","NotRated",161,"2016",8.3,204000
"Die Hard","Action","John McTiernan","Jeb Stuart","Bruce Willis","R",132,"1988",8.2,919000
"Django Unchained","Drama","Quentin Tarantino","Quentin Tarantino","Leonardo DiCaprio","R",165,"2012",8.5,1700000
"Eternal Sunshine of the Spotless Mind","Drama","Michel Gondry","Charlie Kaufman","Jim Carrey","R",108,"2004",8.3,1100000
"Fargo","Crime",NA,"Noah Hawley","Allison Tolman","TV-MA",98,"1996",8.1,709000
"Forrest Gump","Drama","Robert Zemeckis","Eric Roth","Rebecca Williams","PG-13",142,"1994",8.8,2200000
"Full Metal Jacket","Drama","Stanley Kubrick","Gustav Hasford","Adam Baldwin","R",116,"1987",8.3,776000
"Gladiator","Action","Ridley Scott","William Nicholson","Oliver Reed","R",155,"2000",8.5,1600000
"Gone Girl","Drama","David Fincher","Gillian Flynn","Tyler Perry","R",149,"2014",8.1,1e+06
"Gone with the Wind","Drama","Sam Wood","Sidney Howard","Vivien Leigh","Passed",238,"1939",8.2,329000
"Gran Torino","Drama","Clint Eastwood","Nick Schenk","Ahney Her","R",116,"2008",8.1,803000
"Grave of the Fireflies","Animation","Isao Takahata","Isao Takahata","Akemi Yamaguchi","NotRated",89,"1988",8.5,3e+05
"Green Book","Biography","Peter Farrelly","Nick Vallelonga","Viggo Mortensen","PG-13",130,"2018",8.2,544000
"Groundhog Day","Comedy","Harold Ramis","Danny Rubin","Bill Murray","PG",101,"1993",8,668000
"Hacksaw Ridge","Biography","Mel Gibson","Andrew Knight","Milo Gibson","R",139,"2016",8.1,575000
"Harry Potter and the Deathly Hallows: Part 2","Adventure","David Yates","Steve Kloves","Daniel Radcliffe","PG-13",130,"2011",8.1,926000
"Hotel Rwanda","Biography","Terry George","Keir Pearson","Don Cheadle","PG-13",121,"2004",8.1,368000
"How to Train Your Dragon","Animation","Dean DeBlois","Marc Hyman","Gerard Butler","PG",98,"2010",8.1,782000
"Inception","Action","Christopher Nolan","Christopher Nolan","Joseph Gordon-Levitt","PG-13",148,"2010",8.8,2500000
"Indiana Jones and the Last Crusade","Action","Steven Spielberg","Jeffrey Boam","Sean Connery","PG-13",127,"1989",8.2,797000
"Interstellar","Adventure","Christopher Nolan","Christopher Nolan","Matthew McConaughey","PG-13",169,"2014",8.7,2e+06
"Into the Wild","Adventure","Sean Penn","Jon Krakauer","William Hurt","R",148,"2007",8.1,647000
"Jaws","Adventure","Steven Spielberg","Carl Gottlieb","Roy Scheider","PG",124,"1975",8.1,646000
"Joker","Crime","Todd Phillips","Bob Kane","Joaquin Phoenix","R",122,"2019",8.4,1400000
"Joker","Crime","Todd Phillips","Bob Kane","Joaquin Phoenix","R",122,"2019",8.4,1400000
"Jurassic Park","Action","Steven Spielberg","David Koepp","Jeff Goldblum","PG-13",127,"1993",8.2,1e+06
"Lock, Stock and Two Smoking Barrels","Action","Guy Ritchie","Guy Ritchie","Jason Flemyng","R",107,"1998",8.1,607000
"Mad Max: Fury Road","Action","George Miller","George Miller","Hugh Keays-Byrne","R",120,"2015",8.1,1100000
"Memento","Mystery","Christopher Nolan","Christopher Nolan","Mark Boone Junior","R",113,"2000",8.4,1300000
"Memories of Murder","Crime","Bong Joon Ho","Sung-bo Shim","Roe-ha Kim","NotRated",132,"2003",8.1,207000
"Million Dollar Baby","Drama","Clint Eastwood","F.X. Toole","Hilary Swank","PG-13",132,"2004",8.1,712000
"Modern Times","Comedy","Charles Chaplin","Charles Chaplin","Paulette Goddard","G",87,"1936",8.5,255000
"Monty Python and the Holy Grail","Adventure","Terry Gilliam","Michael Palin","Eric Idle","PG",91,"1975",8.2,562000
"My Neighbor Totoro","Animation","Hayao Miyazaki","Hayao Miyazaki","Chika Sakamoto","G",86,"1988",8.1,366000
"No Country for Old Men","Crime","Joel Coen","Joel Coen","Tommy Lee Jones","R",122,"2007",8.2,1e+06
"Oldboy","Action","Spike Lee","Garon Tsuchiya","Josh Brolin","R",120,"2003",8.4,618000
"Oldboy","Action","Chan-wook Park","Garon Tsuchiya","Yoo Ji-Tae","R",120,"2003",8.4,618000
"Once Upon a Time in the West","Western","Sergio Leone","Bernardo Bertolucci","Henry Fonda","PG-13",166,"1968",8.5,344000
"Parasite","Comedy","Bong Joon Ho","Jin-won Han","Lee Sun-kyun","R",132,"2019",8.5,906000
"Platoon","Drama","Oliver Stone","Oliver Stone","Keith David","R",120,"1986",8.1,431000
"Princess Mononoke","Animation","Hayao Miyazaki","Hayao Miyazaki","John DiMaggio","PG-13",134,"1997",8.3,420000
"Prisoners","Crime","Denis Villeneuve","Aaron Guzikowski","Hugh Jackman","R",153,"2013",8.1,782000
"Psycho","Horror","Alfred Hitchcock","Robert Bloch","Anthony Perkins","R",109,"1960",8.5,705000
"Pulp Fiction","Crime","Quentin Tarantino","Roger Avary","John Travolta","R",154,"1994",8.9,2200000
"Rebecca","Drama","Alfred Hitchcock","Daphne Du Maurier","George Sanders","Approved",130,"1940",8.1,144000
"Requiem for a Dream","Drama","Darren Aronofsky","Darren Aronofsky","Marlon Wayans","R",102,"2000",8.3,882000
"Reservoir Dogs","Crime","Quentin Tarantino","Roger Avary","Michael Madsen","R",99,"1992",8.3,1100000
"Rocky","Drama","John G. Avildsen","Sylvester Stallone","Sylvester Stallone","PG",120,"1976",8.1,616000
"Room","Drama","Lenny Abrahamson","Emma Donoghue","Brie Larson","R",118,"2015",8.1,442000
"Saving Private Ryan","Drama","Steven Spielberg","Robert Rodat","Tom Sizemore","R",169,"1998",8.6,1500000
"Scarface","Crime","Brian De Palma","Oliver Stone","Mary Elizabeth Mastrantonio","R",170,"1983",8.3,894000
"Shutter Island","Mystery","Martin Scorsese","Laeta Kalogridis","Max von Sydow","R",138,"2010",8.2,1400000
"Snatch","Comedy","Guy Ritchie","Guy Ritchie","Vinnie Jones","R",102,"2000",8.2,893000
"Spider-Man: Into the Spider-Verse","Animation","Peter Ramsey","Phil Lord","Jake Johnson","PG",117,"2018",8.4,643000
"Spotlight","Biography","Tom McCarthy","Josh Singer","Liev Schreiber","R",129,"2015",8.1,493000
"Spotlight","Biography","Tom McCarthy","Josh Singer","Liev Schreiber","R",129,"2015",8.1,493000
"Stand by Me","Adventure","Rob Reiner","Bruce A. Evans","Wil Wheaton","R",89,"1986",8.1,431000
"Stand by Me","Adventure","Rob Reiner","Bruce A. Evans","Wil Wheaton","R",89,"1986",8.1,431000
"Terminator 2: Judgment Day","Action","James Cameron","James Cameron","Linda Hamilton","R",137,"1991",8.6,1200000
"The Dark Knight","Action","Christopher Nolan","Bob Kane","Aaron Eckhart","PG-13",152,"2008",9,2800000
"The Dark Knight Rises","Action","Christopher Nolan","Bob Kane","Gary Oldman","PG-13",164,"2012",8.4,1800000
"The Departed","Crime","Martin Scorsese","William Monahan","Matt Damon","R",151,"2006",8.5,1400000
"The Elephant Man","Biography","David Lynch","Frederick Treves","John Hurt","PG",124,"1980",8.2,254000
"The Exorcist","Horror","William Friedkin","William Peter Blatty","Max von Sydow","R",122,"1973",8.1,445000
"The Exorcist","Drama",NA,"Jeremy Slater","Kurt Egyiawan","TV-14",122,"1973",8.1,445000
"The Godfather","Crime","Francis Ford Coppola","Mario Puzo","Richard S. Castellano","R",175,"1972",9.2,2e+06
"The Gold Rush","Adventure","Charles Chaplin","Charles Chaplin","Tom Murray","Passed",95,"1925",8.1,117000
"The Great Dictator","Comedy","Charles Chaplin","Charles Chaplin","Reginald Gardiner","Passed",125,"1940",8.4,234000
"The Great Escape","Adventure","John Sturges","W.R. Burnett","Steve McQueen","Approved",172,"1963",8.2,255000
"The Green Mile","Crime","Frank Darabont","Frank Darabont","Bonnie Hunt","R",189,"1999",8.6,1400000
"The Handmaiden","Drama","Chan-wook Park","Chan-wook Park","Yong-nyeo Lee","NotRated",145,"2016",8.1,166000
"The Help","Drama","Tate Taylor","Kathryn Stockett","Bryce Dallas Howard","PG-13",146,"2011",8.1,483000
"The Iron Giant","Animation","Brad Bird","Ted Hughes","Vin Diesel","PG",86,"1999",8.1,219000
"The Kid","Comedy","Charles Chaplin","Charles Chaplin","Jackie Coogan","Passed",68,"1921",8.2,132000
"The Lord of the Rings: The Fellowship of the Ring","Action","Peter Jackson","J.R.R. Tolkien","Noel Appleby","PG-13",178,"2001",8.8,2e+06
"The Lord of the Rings: The Return of the King","Action","Peter Jackson","J.R.R. Tolkien","Noel Appleby","PG-13",201,"2003",9,1900000
"The Lord of the Rings: The Two Towers","Action","Peter Jackson","Stephen Sinclair","John Bach","PG-13",179,"2002",8.8,1700000
"The Matrix","Action","Lilly Wachowski","Lilly Wachowski","Laurence Fishburne","R",136,"1999",8.7,2e+06
"The Pianist","Biography","Roman Polanski","Wladyslaw Szpilman","Ed Stoppard","R",150,"2002",8.5,888000
"The Prestige","Drama","Christopher Nolan","Christopher Priest","Hugh Jackman","PG-13",130,"2006",8.5,1400000
"The Shawshank Redemption","Drama","Frank Darabont","Frank Darabont","William Sadler","R",142,"1994",9.3,2800000
"The Shining","Drama","Stanley Kubrick","Diane Johnson","Jack Nicholson","R",146,"1980",8.4,1100000
"The Thing","Horror","Matthijs van Heijningen Jr.","John W. Campbell Jr.","Mary Elizabeth Winstead","R",109,"1982",8.2,455000
"The Truman Show","Comedy","Peter Weir","Andrew Niccol","Jim Carrey","PG",103,"1998",8.2,1200000
"The Usual Suspects","Crime","Bryan Singer","Christopher McQuarrie","Kevin Pollak","R",106,"1995",8.5,1100000
"The Wizard of Oz","Adventure","Victor Fleming","Edgar Allan Woolf","Ray Bolger","PG",102,"1939",8.1,420000
"The Wolf of Wall Street","Biography","Martin Scorsese","Terence Winter","Margot Robbie","R",180,"2013",8.2,1500000
"There Will Be Blood","Drama","Paul Thomas Anderson","Paul Thomas Anderson","Martin Stringer","R",158,"2007",8.2,626000
"Trainspotting","Drama","Danny Boyle","John Hodge","Jonny Lee Miller","R",93,"1996",8.1,714000
"Unforgiven","Drama","Clint Eastwood","David Webb Peoples","Richard Harris","R",130,"1992",8.2,429000
"V for Vendetta","Action","James McTeigue","Lilly Wachowski","Stephen Rea","R",132,"2005",8.2,1200000
"Warrior","Action","Gavin O'Connor","Cliff Dorfman","Jennifer Morrison","PG-13",140,"2011",8.1,491000
